x-spline, y-spline, z-spline, radius
920.000,0.000,0.000,19.532
922.000,0.000,0.000,19.557
924.000,0.000,0.000,19.582
926.000,0.000,0.000,19.607
928.000,0.000,0.000,19.633
930.000,0.000,0.000,19.658
932.000,0.000,0.000,19.683
934.000,0.000,0.000,19.708
936.000,0.000,0.000,19.734
938.000,0.000,0.000,19.759
940.000,0.000,0.000,19.784
942.000,0.000,0.000,19.809
944.000,0.000,0.000,19.835
946.000,0.000,0.000,19.860
948.000,0.000,0.000,19.885
950.000,0.000,0.000,19.911
952.000,0.000,0.000,19.936
954.000,0.000,0.000,19.961
956.000,0.000,0.000,19.986
958.000,0.000,0.000,20.012
960.000,0.000,0.000,20.037
962.000,0.000,0.000,20.062
964.000,0.000,0.000,20.087
966.000,0.000,0.000,20.113
968.000,0.000,0.000,20.138
970.000,0.000,0.000,20.163
972.000,0.000,0.000,20.188
974.000,0.000,0.000,20.214
976.000,0.000,0.000,20.239
978.000,0.000,0.000,20.264
980.000,0.000,0.000,20.289
982.000,0.000,0.000,20.315
984.000,0.000,0.000,20.340
986.000,0.000,0.000,20.365
988.000,0.000,0.000,20.391
990.000,0.000,0.000,20.416
992.000,0.000,0.000,20.441
994.000,0.000,0.000,20.466
996.000,0.000,0.000,20.492
998.000,0.000,0.000,20.517
1000.000,0.000,0.000,20.542
1002.000,0.000,0.000,20.567
1004.000,0.000,0.000,20.593
1006.000,0.000,0.000,20.618
1008.000,0.000,0.000,20.643
1010.000,0.000,0.000,20.668
1012.000,0.000,0.000,20.694
1014.000,0.000,0.000,20.719
1016.000,0.000,0.000,20.744
1018.000,0.000,0.000,20.769
1020.000,0.000,0.000,20.795
1022.000,0.000,0.000,20.820
1024.000,0.000,0.000,20.845
1026.000,0.000,0.000,20.871
1028.000,0.000,0.000,20.896
1030.000,0.000,0.000,20.921
1032.000,0.000,0.000,20.946
1034.000,0.000,0.000,20.972
1036.000,0.000,0.000,20.997
1038.000,0.000,0.000,21.022
1040.000,0.000,0.000,21.047
1042.000,0.000,0.000,21.073
1044.000,0.000,0.000,21.098
1046.000,0.000,0.000,21.123
1048.000,0.000,0.000,21.148
1050.000,0.000,0.000,21.174
1052.000,0.000,0.000,21.199
1054.000,0.000,0.000,21.224
1056.000,0.000,0.000,21.249
1058.000,0.000,0.000,21.275
1060.000,0.000,0.000,21.300
1062.000,0.000,0.000,21.325
1064.000,0.000,0.000,21.351
1066.000,0.000,0.000,21.376
1068.000,0.000,0.000,21.401
1070.000,0.000,0.000,21.426
1072.000,0.000,0.000,21.452
1074.000,0.000,0.000,21.477
1076.000,0.000,0.000,21.502
1078.000,0.000,0.000,21.527
1080.000,0.000,0.000,21.553
1082.000,0.000,0.000,21.578
1084.000,0.000,0.000,21.603
1086.000,0.000,0.000,21.628
1088.000,0.000,0.000,21.654
1090.000,0.000,0.000,21.679
1092.000,0.000,0.000,21.704
1094.000,0.000,0.000,21.729
1096.000,0.000,0.000,21.755
1098.000,0.000,0.000,21.780
1100.000,0.000,0.000,21.805
1102.000,0.000,0.000,21.831
1104.000,0.000,0.000,21.856
1106.000,0.000,0.000,21.881
1108.000,0.000,0.000,21.906
1110.000,0.000,0.000,21.932
1112.000,0.000,0.000,21.957
1114.000,0.000,0.000,21.982
1116.000,0.000,0.000,22.007
1118.000,0.000,0.000,22.033
1120.000,0.000,0.000,22.058
1122.000,0.000,0.000,22.083
1124.000,0.000,0.000,22.108
1126.000,0.000,0.000,22.134
1128.000,0.000,0.000,22.159
1130.000,0.000,0.000,22.184
1132.000,0.000,0.000,22.209
1134.000,0.000,0.000,22.235
1136.000,0.000,0.000,22.260
1138.000,0.000,0.000,22.285
1140.000,0.000,0.000,22.311
1142.000,0.000,0.000,22.336
1144.000,0.000,0.000,22.361
1146.000,0.000,0.000,22.386
1148.000,0.000,0.000,22.412
1150.000,0.000,0.000,22.437
1152.000,0.000,0.000,22.462
1154.000,0.000,0.000,22.487
1156.000,0.000,0.000,22.513
1158.000,0.000,0.000,22.538
1160.000,0.000,0.000,22.563
1162.000,0.000,0.000,22.588
1164.000,0.000,0.000,22.614
1166.000,0.000,0.000,22.639
1168.000,0.000,0.000,22.664
1170.000,0.000,0.000,22.689
1172.000,0.000,0.000,22.715
1174.000,0.000,0.000,22.740
1176.000,0.000,0.000,22.765
1178.000,0.000,0.000,22.791
1180.000,0.000,0.000,22.816
1182.000,0.000,0.000,22.841
1184.000,0.000,0.000,22.866
1186.000,0.000,0.000,22.892
1188.000,0.000,0.000,22.917
1190.000,0.000,0.000,22.942
1192.000,0.000,0.000,22.967
1194.000,0.000,0.000,22.993
1196.000,0.000,0.000,23.018
1198.000,0.000,0.000,23.043
1200.000,0.000,0.000,23.068
1202.000,0.000,0.000,23.094
1204.000,0.000,0.000,23.119
1206.000,0.000,0.000,23.144
1208.000,0.000,0.000,23.169
1210.000,0.000,0.000,23.195
1212.000,0.000,0.000,23.220
1214.000,0.000,0.000,23.245
1216.000,0.000,0.000,23.271
1218.000,0.000,0.000,23.296
1220.000,0.000,0.000,23.321
1222.000,0.000,0.000,23.346
1224.000,0.000,0.000,23.372
1226.000,0.000,0.000,23.397
1228.000,0.000,0.000,23.422
1230.000,0.000,0.000,23.447
1232.000,0.000,0.000,23.473
1234.000,0.000,0.000,23.498
1236.000,0.000,0.000,23.523
1238.000,0.000,0.000,23.548
1240.000,0.000,0.000,23.574
1242.000,0.000,0.000,23.599
1244.000,0.000,0.000,23.624
1246.000,0.000,0.000,23.649
1248.000,0.000,0.000,23.675
1250.000,0.000,0.000,23.700
1252.000,0.000,0.000,23.725
1254.000,0.000,0.000,23.751
1256.000,0.000,0.000,23.776
1258.000,0.000,0.000,23.801
1260.000,0.000,0.000,23.826
1262.000,0.000,0.000,23.852
1264.000,0.000,0.000,23.877
1266.000,0.000,0.000,23.902
1268.000,0.000,0.000,23.927
1270.000,0.000,0.000,23.953
1272.000,0.000,0.000,23.978
1274.000,0.000,0.000,24.003
1276.000,0.000,0.000,24.028
1278.000,0.000,0.000,24.054
1280.000,0.000,0.000,24.079
1282.000,0.000,0.000,24.104
1284.000,0.000,0.000,24.129
1286.000,0.000,0.000,24.155
1288.000,0.000,0.000,24.180
1290.000,0.000,0.000,24.205
1292.000,0.000,0.000,24.231
1294.000,0.000,0.000,24.256
1296.000,0.000,0.000,24.281
1298.000,0.000,0.000,24.306
1300.000,0.000,0.000,24.332
1302.000,0.000,0.000,24.357
1304.000,0.000,0.000,24.382
1306.000,0.000,0.000,24.407
1308.000,0.000,0.000,24.433
1310.000,0.000,0.000,24.458
1312.000,0.000,0.000,24.483
1314.000,0.000,0.000,24.508
1316.000,0.000,0.000,24.534
1318.000,0.000,0.000,24.559
1320.000,0.000,0.000,24.584
1322.000,0.000,0.000,24.609
1324.000,0.000,0.000,24.635
1326.000,0.000,0.000,24.660
1328.000,0.000,0.000,24.685
1330.000,0.000,0.000,24.711
1332.000,0.000,0.000,24.736
1334.000,0.000,0.000,24.761
1336.000,0.000,0.000,24.786
1338.000,0.000,0.000,24.812
1340.000,0.000,0.000,24.837
1342.000,0.000,0.000,24.862
1344.000,0.000,0.000,24.887
1346.000,0.000,0.000,24.913
1348.000,0.000,0.000,24.938
1350.000,0.000,0.000,24.963
1352.000,0.000,0.000,24.988
1354.000,0.000,0.000,25.014
1356.000,0.000,0.000,25.039
1358.000,0.000,0.000,25.064
1360.000,0.000,0.000,25.089
1362.000,0.000,0.000,25.115
1364.000,0.000,0.000,25.140
1366.000,0.000,0.000,25.165
1368.000,0.000,0.000,25.191
1370.000,0.000,0.000,25.216
1372.000,0.000,0.000,25.241
1374.000,0.000,0.000,25.266
1376.000,0.000,0.000,25.292
1378.000,0.000,0.000,25.317
1380.000,0.000,0.000,25.342
1382.000,0.000,0.000,25.367
